epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1701,1.04953,0.8036,1.35546,0.91926,0.93043,0.96432,0.7359,0.90515,0.51535,1.20364,0.000748593,0.000748593,0.000748593
43,1739.68,1.0328,0.77767,1.34254,0.9268,0.94952,0.97362,0.75082,0.87987,0.46577,1.18174,0.000746114,0.000746114,0.000746114
44,1778.35,1.04279,0.77458,1.34482,0.91742,0.94457,0.96897,0.72274,0.96033,0.48102,1.22739,0.000743581,0.000743581,0.000743581
45,1816.87,1.04088,0.77794,1.34105,0.94133,0.94022,0.97478,0.76115,0.84936,0.4534,1.17337,0.000740994,0.000740994,0.000740994
46,1855.42,1.03714,0.78063,1.34516,0.92322,0.94108,0.96752,0.71296,1.0022,0.49842,1.26397,0.000738354,0.000738354,0.000738354
47,1894.29,1.01919,0.7548,1.33792,0.93117,0.94115,0.9708,0.75628,0.86819,0.46567,1.16727,0.000735661,0.000735661,0.000735661
48,1933.14,1.01046,0.74161,1.31159,0.93223,0.93152,0.96624,0.74163,0.87508,0.48269,1.18444,0.000732916,0.000732916,0.000732916
49,1971.67,1.02612,0.76632,1.32866,0.92675,0.93519,0.9733,0.73944,0.90693,0.47403,1.21168,0.000730119,0.000730119,0.000730119
50,2010.7,1.01493,0.75908,1.32285,0.91719,0.9511,0.97029,0.74662,0.8779,0.49199,1.17138,0.00072727,0.00072727,0.00072727
51,2049.65,1.00764,0.75724,1.32375,0.92847,0.94536,0.96873,0.75962,0.82178,0.45522,1.15058,0.000724371,0.000724371,0.000724371
52,2088.53,1.00158,0.73697,1.31622,0.94436,0.93261,0.97387,0.76378,0.84175,0.45086,1.15119,0.000721421,0.000721421,0.000721421
53,2127.28,0.98351,0.71573,1.30269,0.94203,0.91843,0.96839,0.76732,0.82943,0.44774,1.15404,0.00071842,0.00071842,0.00071842
54,2165.91,0.99083,0.73962,1.31425,0.93477,0.94348,0.97023,0.75525,0.85036,0.46815,1.15044,0.00071537,0.00071537,0.00071537
55,2204.54,0.98163,0.72361,1.29827,0.93122,0.9419,0.96994,0.76044,0.84442,0.46881,1.152,0.000712271,0.000712271,0.000712271
56,2243.63,0.99382,0.74802,1.30838,0.93517,0.9413,0.96807,0.7482,0.86382,0.45637,1.15687,0.000709123,0.000709123,0.000709123
57,2282.39,0.97468,0.72306,1.29513,0.94886,0.93913,0.97669,0.76153,0.85997,0.43721,1.16319,0.000705927,0.000705927,0.000705927
58,2321.15,0.97833,0.71689,1.30075,0.94057,0.95,0.97487,0.76735,0.83593,0.42885,1.1502,0.000702684,0.000702684,0.000702684
59,2359.89,0.97469,0.71236,1.2978,0.93672,0.95109,0.9741,0.7479,0.88891,0.46245,1.18436,0.000699393,0.000699393,0.000699393
60,2399.93,0.98062,0.71363,1.30064,0.93462,0.94784,0.97221,0.77281,0.82148,0.43211,1.13098,0.000696055,0.000696055,0.000696055
61,2438.69,0.9685,0.70604,1.29228,0.9295,0.96014,0.97423,0.75511,0.8635,0.4395,1.16029,0.000692672,0.000692672,0.000692672
62,2477.32,0.96736,0.69038,1.28513,0.93976,0.94951,0.97351,0.7633,0.84534,0.43477,1.14988,0.000689242,0.000689242,0.000689242
63,2516.19,0.95685,0.6983,1.27952,0.93785,0.94891,0.97367,0.77411,0.80803,0.42218,1.12459,0.000685768,0.000685768,0.000685768
64,2554.9,0.94724,0.69071,1.28035,0.94823,0.93261,0.97395,0.75883,0.83969,0.44959,1.13543,0.000682249,0.000682249,0.000682249
65,2593.62,0.96017,0.6957,1.28086,0.94511,0.93586,0.9703,0.75061,0.88581,0.43573,1.1682,0.000678687,0.000678687,0.000678687
66,2632.51,0.94073,0.67861,1.26774,0.93758,0.94687,0.9739,0.77263,0.81357,0.4189,1.1179,0.000675081,0.000675081,0.000675081
67,2671.3,0.96041,0.69893,1.27935,0.9362,0.95703,0.9721,0.77205,0.80616,0.42147,1.12438,0.000671432,0.000671432,0.000671432
68,2709.99,0.93518,0.66667,1.26305,0.92736,0.95761,0.97201,0.77103,0.82948,0.44219,1.13625,0.000667741,0.000667741,0.000667741
69,2748.58,0.93667,0.68385,1.26527,0.93697,0.95335,0.97238,0.76993,0.81671,0.42125,1.1372,0.000664008,0.000664008,0.000664008
70,2787.11,0.93103,0.6708,1.26577,0.93956,0.95217,0.97363,0.77742,0.79717,0.42263,1.1212,0.000660234,0.000660234,0.000660234
71,2825.96,0.93599,0.66807,1.26322,0.92666,0.96135,0.9732,0.77109,0.82998,0.41965,1.14062,0.00065642,0.00065642,0.00065642
72,2864.82,0.94545,0.69473,1.27992,0.94408,0.94674,0.9778,0.77984,0.80023,0.41452,1.11937,0.000652566,0.000652566,0.000652566
73,2903.46,0.92537,0.66676,1.26004,0.94289,0.94674,0.97226,0.77276,0.80604,0.4193,1.12499,0.000648672,0.000648672,0.000648672
74,2942.58,0.92452,0.65232,1.24881,0.92887,0.96525,0.97272,0.77988,0.79672,0.41181,1.12278,0.00064474,0.00064474,0.00064474
75,2981.71,0.93014,0.66786,1.25888,0.94557,0.94418,0.97511,0.77664,0.80794,0.42516,1.13123,0.00064077,0.00064077,0.00064077
76,3020.25,0.91802,0.6504,1.25013,0.9367,0.94565,0.97168,0.76913,0.81942,0.42715,1.13046,0.000636763,0.000636763,0.000636763
77,3058.83,0.92621,0.65531,1.2546,0.9451,0.95429,0.97375,0.77133,0.81321,0.42086,1.12665,0.000632719,0.000632719,0.000632719
78,3097.43,0.91124,0.6559,1.25228,0.93299,0.95338,0.97259,0.78038,0.79699,0.41951,1.12984,0.000628639,0.000628639,0.000628639
79,3136.22,0.90655,0.65105,1.25262,0.9444,0.95109,0.97408,0.77455,0.81866,0.41362,1.13915,0.000624523,0.000624523,0.000624523
80,3174.77,0.91702,0.65257,1.25695,0.93574,0.95652,0.97524,0.77569,0.81392,0.41339,1.13935,0.000620372,0.000620372,0.000620372
81,3213.52,0.91261,0.65211,1.25205,0.93211,0.95543,0.97295,0.77275,0.81754,0.42786,1.14371,0.000616187,0.000616187,0.000616187
82,3252.41,0.90042,0.63578,1.23671,0.93658,0.9471,0.97288,0.77439,0.81997,0.40795,1.13174,0.000611969,0.000611969,0.000611969
83,3291.07,0.89586,0.62217,1.23531,0.92989,0.95543,0.9716,0.77201,0.82058,0.40891,1.1321,0.000607718,0.000607718,0.000607718
84,3329.88,0.90627,0.6433,1.24593,0.94644,0.9603,0.97532,0.77156,0.82427,0.39704,1.13613,0.000603435,0.000603435,0.000603435
85,3368.66,0.90312,0.64155,1.24252,0.94647,0.95217,0.97402,0.77974,0.81354,0.39893,1.11929,0.00059912,0.00059912,0.00059912
86,3407.19,0.88572,0.62926,1.2328,0.9388,0.9587,0.97312,0.77858,0.80139,0.40136,1.12469,0.000594774,0.000594774,0.000594774
87,3445.74,0.88891,0.63152,1.2425,0.94104,0.95411,0.97308,0.77297,0.8224,0.40872,1.13826,0.000590399,0.000590399,0.000590399
88,3484.27,0.88787,0.62837,1.23181,0.94202,0.95365,0.97562,0.77612,0.81423,0.40298,1.14342,0.000585994,0.000585994,0.000585994
89,3522.89,0.88658,0.63586,1.23543,0.93355,0.962,0.97577,0.78177,0.79911,0.3979,1.11834,0.00058156,0.00058156,0.00058156
90,3561.76,0.88794,0.62608,1.23217,0.94342,0.96059,0.97521,0.77887,0.80587,0.39468,1.12817,0.000577098,0.000577098,0.000577098
91,3600.3,0.88079,0.62018,1.2247,0.93571,0.96087,0.97637,0.78108,0.81258,0.40102,1.11772,0.000572609,0.000572609,0.000572609
92,3639.18,0.86281,0.59593,1.20057,0.93426,0.95771,0.97485,0.78315,0.80959,0.3946,1.11742,0.000568093,0.000568093,0.000568093
93,3677.9,0.85745,0.59262,1.20239,0.95122,0.95381,0.97662,0.78796,0.79834,0.38967,1.11987,0.000563551,0.000563551,0.000563551
94,3716.74,0.86137,0.60063,1.21072,0.9376,0.96367,0.97661,0.78752,0.7954,0.39123,1.10893,0.000558984,0.000558984,0.000558984
95,3755.34,0.87276,0.60574,1.21305,0.94183,0.9663,0.97703,0.78546,0.80155,0.38695,1.11899,0.000554393,0.000554393,0.000554393
96,3794.17,0.85172,0.58334,1.19356,0.93911,0.96087,0.97554,0.78291,0.79135,0.38936,1.10162,0.000549777,0.000549777,0.000549777
97,3832.67,0.85947,0.58959,1.20156,0.94509,0.95411,0.97521,0.78984,0.79193,0.38131,1.1069,0.000545139,0.000545139,0.000545139
98,3871.33,0.85982,0.60457,1.20581,0.94523,0.95543,0.97461,0.78542,0.79385,0.3846,1.1122,0.000540479,0.000540479,0.000540479
99,3910.03,0.85518,0.5881,1.20491,0.94308,0.9587,0.97679,0.78841,0.78712,0.38452,1.10621,0.000535797,0.000535797,0.000535797
100,3948.74,0.84366,0.58232,1.19753,0.94103,0.95978,0.97611,0.77905,0.80728,0.39374,1.12979,0.000531094,0.000531094,0.000531094
101,3987.42,0.84185,0.57453,1.18669,0.93673,0.96522,0.97488,0.76963,0.82713,0.39825,1.12636,0.000526371,0.000526371,0.000526371
102,4026.26,0.83578,0.58297,1.18653,0.94714,0.95326,0.97514,0.77831,0.80606,0.39159,1.11225,0.000521628,0.000521628,0.000521628
103,4065.17,0.84874,0.58438,1.19852,0.9364,0.95978,0.97607,0.78143,0.79779,0.38248,1.11351,0.000516868,0.000516868,0.000516868
104,4103.76,0.8391,0.58731,1.19987,0.9471,0.95217,0.97593,0.78284,0.80248,0.38219,1.12225,0.000512089,0.000512089,0.000512089
105,4142.49,0.83696,0.57549,1.19474,0.93569,0.95761,0.9749,0.77303,0.80741,0.40007,1.12348,0.000507293,0.000507293,0.000507293
106,4181.12,0.83036,0.57021,1.1775,0.94278,0.94891,0.97565,0.77689,0.79956,0.39407,1.12036,0.000502481,0.000502481,0.000502481
107,4219.66,0.82853,0.57148,1.18585,0.94398,0.95326,0.97657,0.78009,0.79286,0.38424,1.10906,0.000497654,0.000497654,0.000497654
108,4258.39,0.81792,0.55443,1.17927,0.94099,0.95761,0.97539,0.78114,0.79377,0.39604,1.108,0.000492811,0.000492811,0.000492811
109,4297.26,0.83542,0.5726,1.18548,0.93887,0.96087,0.97614,0.78678,0.78408,0.38286,1.10005,0.000487955,0.000487955,0.000487955
110,4335.89,0.82761,0.56523,1.1812,0.94191,0.96413,0.97478,0.78441,0.78905,0.38754,1.10737,0.000483085,0.000483085,0.000483085
111,4374.53,0.81915,0.56355,1.1795,0.94455,0.95435,0.97644,0.79061,0.77987,0.38133,1.10394,0.000478203,0.000478203,0.000478203
112,4413.47,0.82625,0.56323,1.18169,0.95077,0.94455,0.97636,0.78545,0.79994,0.37494,1.11919,0.000473309,0.000473309,0.000473309
113,4452.15,0.81147,0.55032,1.17335,0.94219,0.9567,0.97805,0.78275,0.79526,0.38448,1.11244,0.000468404,0.000468404,0.000468404
114,4490.66,0.79698,0.54352,1.15946,0.94412,0.9587,0.97605,0.78237,0.79476,0.38474,1.10911,0.000463489,0.000463489,0.000463489
115,4529.21,0.82656,0.57138,1.18788,0.9443,0.95829,0.97712,0.78291,0.79638,0.38129,1.11203,0.000458565,0.000458565,0.000458565
116,4568.15,0.8209,0.56186,1.17718,0.93475,0.96546,0.97646,0.78174,0.78196,0.38432,1.09938,0.000453632,0.000453632,0.000453632
117,4606.77,0.815,0.56333,1.17411,0.94306,0.95407,0.97611,0.77701,0.8016,0.38798,1.10814,0.000448691,0.000448691,0.000448691
118,4645.82,0.81853,0.56179,1.16853,0.94646,0.95652,0.97743,0.78522,0.7925,0.3811,1.10318,0.000443743,0.000443743,0.000443743
119,4684.33,0.80447,0.5485,1.16478,0.94436,0.96196,0.97453,0.78332,0.78596,0.38704,1.10281,0.000438789,0.000438789,0.000438789
120,4722.89,0.78693,0.53666,1.15399,0.94545,0.95109,0.97451,0.77611,0.79085,0.37989,1.10113,0.000433829,0.000433829,0.000433829
121,4761.86,0.81833,0.56319,1.17748,0.94112,0.9587,0.97302,0.77818,0.79696,0.3873,1.10687,0.000428865,0.000428865,0.000428865
122,4800.67,0.79553,0.53528,1.1607,0.93833,0.95326,0.97367,0.78252,0.79164,0.38597,1.10309,0.000423897,0.000423897,0.000423897
123,4839.81,0.78038,0.52927,1.14678,0.94412,0.9549,0.97693,0.79071,0.78726,0.37757,1.09652,0.000418925,0.000418925,0.000418925
124,4878.77,0.78775,0.53598,1.15435,0.93776,0.94891,0.97378,0.78728,0.78994,0.38148,1.10416,0.000413952,0.000413952,0.000413952
125,4917.39,0.77706,0.52683,1.14928,0.92455,0.96739,0.97282,0.78127,0.78994,0.38909,1.09908,0.000408976,0.000408976,0.000408976
126,4956.74,0.79389,0.54282,1.15953,0.93213,0.96087,0.97703,0.78712,0.78968,0.38749,1.0986,0.000404,0.000404,0.000404
127,4995.41,0.78973,0.53049,1.15595,0.93475,0.9587,0.97536,0.78195,0.79531,0.39173,1.10222,0.000399024,0.000399024,0.000399024
128,5034.01,0.76565,0.51694,1.14347,0.941,0.95349,0.97601,0.78399,0.79103,0.38623,1.10461,0.000394048,0.000394048,0.000394048
129,5072.61,0.77397,0.52506,1.14844,0.91904,0.97826,0.9756,0.77984,0.80305,0.3904,1.10844,0.000389075,0.000389075,0.000389075
130,5111.23,0.77241,0.50759,1.13806,0.9424,0.96037,0.97774,0.78044,0.81087,0.38467,1.11438,0.000384103,0.000384103,0.000384103
131,5150.04,0.76029,0.50464,1.13052,0.94514,0.95511,0.97598,0.78063,0.81039,0.38449,1.11364,0.000379135,0.000379135,0.000379135
132,5189.38,0.7878,0.54077,1.15446,0.94136,0.95761,0.9761,0.78184,0.80315,0.38048,1.10614,0.000374171,0.000374171,0.000374171
133,5227.99,0.77499,0.52813,1.15109,0.93952,0.95435,0.97613,0.78459,0.78907,0.37576,1.09804,0.000369211,0.000369211,0.000369211
